,movieID,title,genres,imdb_url,title_noyear,imdb_rating,certification,runtime,genre,release_date,color,country,language,production_company,cast
0,1,Toy Story (1995),Animation|Children's|Comedy,http://www.imdb.com/title/tt0114709/,Toy Story (1995),8.3,G,PT1H21M,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",1995-11-22,Color,['USA'],['English'],"[' Pixar Animation Studios', ' Walt Disney Pictures']","{'director': ['John Lasseter'], 'creator': ['John Lasseter', 'Pete Docter', 'Andrew Stanton', 'Joe Ranft', 'Joss Whedon', 'Andrew Stanton', 'Joel Cohen', 'Alec Sokolow'], 'actor': ['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney']}"
1,2,Jumanji (1995),Adventure|Children's|Fantasy,http://www.imdb.com/title/tt0113497/,Jumanji (1995),7,PG,PT1H44M,"['Adventure', 'Comedy', 'Family', 'Fantasy']",1995-12-15,Color,['USA'],"['English', 'French']","[' TriStar Pictures', ' Interscope Communications', ' Teitler Film']","{'director': ['Joe Johnston'], 'creator': ['Jonathan Hensleigh', 'Greg Taylor', 'Jim Strain', 'Greg Taylor', 'Jim Strain', 'Chris Van Allsburg', 'Chris Van Allsburg'], 'actor': ['Robin Williams', 'Kirsten Dunst', 'Bonnie Hunt', 'Jonathan Hyde']}"
2,3,Grumpier Old Men (1995),Comedy|Romance,http://www.imdb.com/title/tt0113228/,Grumpier Old Men (1995),6.6,PG-13,PT1H41M,"['Comedy', 'Romance']",1995-12-22,Color,['USA'],"['English', 'Italian', 'German']","[' Lancaster Gate', ' Warner Bros.']","{'director': ['Howard Deutch'], 'creator': ['Mark Steven Johnson', 'Mark Steven Johnson'], 'actor': ['Walter Matthau', 'Jack Lemmon', 'Ann-Margret', 'Sophia Loren']}"
3,4,Waiting to Exhale (1995),Comedy|Drama,http://www.imdb.com/title/tt0114885/,Waiting to Exhale (1995),5.8,R,PT2H4M,"['Comedy', 'Drama', 'Romance']",1995-12-22,Color,['USA'],['English'],[' Twentieth Century Fox'],"{'director': ['Forest Whitaker'], 'creator': ['Terry McMillan', 'Terry McMillan', 'Ronald Bass'], 'actor': ['Whitney Houston', 'Angela Bassett', 'Loretta Devine', 'Lela Rochon']}"
4,5,Father of the Bride Part II (1995),Comedy,http://www.imdb.com/title/tt0113041/,Father of the Bride Part II (1995),6,PG,PT1H46M,"['Comedy', 'Family', 'Romance']",1995-12-08,Color,['USA'],['English'],"[' Sandollar Productions', ' Taylor-Made Productions', ' The Meyers/Shyer Company']","{'director': ['Charles Shyer'], 'creator': ['Albert Hackett', 'Frances Goodrich', 'Nancy Meyers', 'Charles Shyer'], 'actor': ['Steve Martin', 'Diane Keaton', 'Martin Short', 'Kimberly Williams-Paisley']}"
5,6,Heat (1995),Action|Crime|Thriller,http://www.imdb.com/title/tt0113277/,Heat (1995),8.2,R,PT2H50M,"['Crime', 'Drama', 'Thriller']",1995-12-15,Color,['USA'],"['English', 'Spanish']","[' Warner Bros.', ' Regency Enterprises', ' Forward Pass']","{'director': ['Michael Mann'], 'creator': ['Michael Mann'], 'actor': ['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']}"
6,7,Sabrina (1995),Comedy|Romance,http://www.imdb.com/title/tt0114319/,Sabrina (1995),6.3,PG,PT2H7M,"['Comedy', 'Drama', 'Romance']",1995-12-15,Color,"['Germany', 'USA']","['English', 'French']","[' Constellation Entertainment', ' Mirage Enterprises', ' Mont Blanc Entertainment GmbH']","{'director': ['Sydney Pollack'], 'creator': ['Samuel A. Taylor', 'Billy Wilder', 'Samuel A. Taylor', 'Ernest Lehman', 'Barbara Benedek', 'David Rayfiel'], 'actor': ['Harrison Ford', 'Julia Ormond', 'Greg Kinnear', 'Nancy Marchand']}"
7,8,Tom and Huck (1995),Adventure|Children's,http://www.imdb.com/title/tt0112302/,Tom and Huck (1995),5.6,PG,PT1H37M,"['Adventure', 'Comedy', 'Drama', 'Family', 'Romance', 'Western']",1995-12-22,Color,['USA'],['English'],"[' Walt Disney Pictures', ' Painted Fence Productions']","{'director': ['Peter Hewitt'], 'creator': ['Mark Twain', 'Stephen Sommers', 'David Loughery'], 'actor': ['Jonathan Taylor Thomas', 'Brad Renfro', 'Charles Rocket', 'Eric Schweig']}"
8,9,Sudden Death (1995),Action,http://www.imdb.com/title/tt0114576/,Sudden Death (1995),5.7,R,PT1H51M,"['Action', 'Crime', 'Thriller']",1995-10-27,Color,['USA'],['English'],"[' Universal Pictures', ' Signature Entertainment', ' Imperial Entertainment']","{'director': ['Peter Hyams'], 'creator': ['Karen Elise Baldwin', 'Gene Quintano'], 'actor': ['Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry', 'Whittni Wright']}"
9,10,GoldenEye (1995),Action|Adventure|Thriller,http://www.imdb.com/title/tt0113189/,GoldenEye (1995),7.2,PG-13,PT2H10M,"['Action', 'Adventure', 'Thriller']",1995-11-16,Color,"['UK', 'USA']","['English', 'Russian', 'Spanish']","[' Eon Productions', ' United Artists']","{'director': ['Martin Campbell'], 'creator': ['Ian Fleming', 'Michael France', 'Jeffrey Caine', 'Bruce Feirstein'], 'actor': ['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen']}"
10,11,The American President (1995),Comedy|Drama|Romance,http://www.imdb.com/title/tt0112346/,"American President, The (1995)",6.8,PG-13,PT1H54M,"['Comedy', 'Drama', 'Romance']",1995-11-17,Color,['USA'],"['English', 'French', 'Spanish']","[' Universal Pictures', ' Castle Rock Entertainment', ' Wildwood Enterprises']","{'director': ['Rob Reiner'], 'creator': ['Aaron Sorkin'], 'actor': ['Michael Douglas', 'Annette Bening', 'Martin Sheen', 'Michael J. Fox']}"
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,http://www.imdb.com/title/tt0112896/,Dracula: Dead and Loving It (1995),5.9,PG-13,PT1H28M,"['Comedy', 'Fantasy', 'Horror']",1995-12-22,Color,"['France', 'USA']","['English', 'German']","[' Gaumont', ' Castle Rock Entertainment', ' Brooksfilms']","{'director': ['Mel Brooks'], 'creator': ['Mel Brooks', 'Rudy De Luca', 'Steve Haberman', 'Rudy De Luca', 'Steve Haberman', 'Bram Stoker'], 'actor': ['Leslie Nielsen', 'Mel Brooks', 'Peter MacNicol', 'Steven Weber']}"
12,13,Balto (1995),Animation|Children's,http://www.imdb.com/title/tt0112453/,Balto (1995),7.1,G,PT1H18M,"['Animation', 'Adventure', 'Drama', 'Family', 'History']",1995-12-22,Color,['USA'],['English'],"[' Amblimation', ' Amblin Entertainment', ' Universal Pictures']","{'director': ['Simon Wells'], 'creator': ['Cliff Ruby', 'Elana Lesser', 'David Steven Cohen', 'Roger S.H. Schulman'], 'actor': ['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda', 'Jim Cummings']}"
13,14,Nixon (1995),Drama,http://www.imdb.com/title/tt0113987/,Nixon (1995),7.1,R,PT3H12M,"['Biography', 'Drama', 'History']",1996-01-05,Color,['USA'],"['English', 'Mandarin', 'Russian']","[' Cinergi Pictures Entertainment', ' Hollywood Pictures', ' Illusion Entertainment']","{'director': ['Oliver Stone'], 'creator': ['Stephen J. Rivele', 'Christopher Wilkinson', 'Oliver Stone'], 'actor': ['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris']}"
